"c[trans]" "c[com]" "c[circ]" "c[rep+]" "c[rep-]" "c[pack]" "com[max]" "rep[max]" "c[3A]" "c[stay]" "scaler" "var c[trans]" " var c[com]" "var c[circ]" "var c[rep+]" "var c[rep-]" "var c[pack]" "var com[max]" "var rep[max]" "var c[3A]" "var c[stay]" "var scaler" "ly gamma shape" "lag" "ly gamma rate" "lag var"
4.024599 -8.988343 -4.601494 1.665583 12.44963 -5.966468 11.96256 2.945461 8.597956 0.4129852 4.44378e-05 0.4172246 0.2731406 0.507888 0.688853 0.4090423 0.5876738 0.2981383 0.2638588 0.6838871 0.2363845 0.0009280662 46.51544 1.642876 3.365913 4.748052
3.175843 -9.872607 -4.373449 -1.637263 19.93332 -7.902484 6.674422 3.82909 8.003985 0.5944623 5.219908e-05 0.3616005 0.794614 0.7091728 0.7474455 0.87551 0.4333557 0.6870108 0.3691218 0.7591356 0.9009394 0.5271247 33.57094 2.380429 2.165812 3.580545
4.896537 -5.477058 -9.333749 -5.633812 14.10524 -8.932951 15.52563 4.216243 7.733874 0.1803439 1.568286e-05 0.1227049 0.3571095 0.3577032 0.6155176 0.3678774 0.4319079 0.4587935 0.5947813 0.2695985 0.3858999 0.5707971 36.72001 1.82262 2.456693 2.563984
2.262245 -2.841506 -7.836419 13.57194 9.80037 -5.293958 5.825981 4.761362 7.344087 0.190746 2.386983e-05 0.6815058 0.615426 0.6419836 0.614993 0.6648493 0.8649574 0.5231491 0.9690383 0.9197189 0.2601666 0.3503605 47.629 2.959673 2.953172 4.212743
3.002214 -2.680695 -8.174892 5.498136 16.44938 -8.571237 10.70912 3.400758 7.551944 0.7334498 9.193137e-05 0.8305287 0.5547411 0.3445001 0.5461845 0.7478992 0.9671656 0.01556952 0.5020118 0.09815893 0.6777663 0.729232 48.62014 0.661173 3.301915 2.910666
1.880799 -5.284621 -0.3214133 4.726767 14.10028 -1.681732 7.376117 4.759884 6.689812 0.1912793 2.792238e-05 0.8482516 0.1191994 0.1689299 0.530499 0.8404009 0.763095 0.7220382 0.3360375 0.2617305 0.7959416 0.6240987 44.51479 4.014705 2.883386 0.3613683
1.116111 -4.596161 -3.507573 -3.783372 16.23756 -2.48307 9.182528 6.478188 6.234507 0.7185712 2.959779e-05 0.8836183 0.04068394 0.1289287 0.7556786 0.8457911 0.5143032 0.669761 0.1057689 0.7477836 0.529401 0.179287 41.77478 3.699813 3.20979 3.031648
3.024644 -6.063282 -6.719996 2.284791 -1.118963 -9.098595 16.86347 5.375942 7.339911 0.6295005 1.929181e-05 0.6181175 0.1308655 0.8826637 0.6843803 0.7166702 0.180729 0.6654765 0.419576 0.7983266 0.6599508 0.8573184 35.73954 3.105011 2.566779 3.010501
2.595646 -6.646239 0.2980326 -2.846556 0.5826223 -1.200663 9.908693 6.212484 7.172743 0.8176612 6.852225e-05 0.7721998 0.4706357 0.9090359 0.6250561 0.4948882 0.1398376 0.5749651 0.4277455 0.1173685 0.7079669 0.6943184 41.56128 3.811895 2.737352 1.834182
3.379877 -7.588247 0.240789 7.747077 3.094809 -7.001034 7.629205 5.347422 8.334052 0.07774627 5.927455e-05 0.7724524 0.3922164 0.1448011 0.6846935 0.7943923 0.8352808 0.8808728 0.4424705 0.4756481 0.1448336 0.5225223 39.37608 4.621334 2.699419 0.6444261
2.448256 -6.627785 -6.009215 6.798792 10.21857 -2.378845 17.74204 3.276954 7.100409 0.02398922 8.995104e-05 0.7239781 0.07467617 0.594265 0.399959 0.7230765 0.5259938 0.980434 0.9913285 0.4006253 0.8149036 0.1560305 48.60652 3.593126 3.301769 2.418265
